metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.6497001669761423,0.17243495756554378
iou_jaccard,64,81,0.5026315839601326,0.17271506588743654
precision,64,81,0.5261900520466392,0.187231002726109
recall,64,81,0.9436450709931777,0.07655483483867628
accuracy,64,81,0.6710762683256173,0.17899736479809433
balanced_accuracy,64,81,0.7332393452201648,0.10623259394336751
mcc,64,81,0.46060861730859326,0.18910749465605156
specificity,64,81,0.5228336194471516,0.2545242408720411
f1_dice,48,121,0.672087606358585,0.1464805101575004
iou_jaccard,48,121,0.5239023990327081,0.16430354228093275
precision,48,121,0.556128977622834,0.18115543410908
recall,48,121,0.9254071227501997,0.10574596727890442
accuracy,48,121,0.7112675045913683,0.13800678108638834
balanced_accuracy,48,121,0.7367762511983091,0.10503478001810373
mcc,48,121,0.4680587020812498,0.17425937089419133
specificity,48,121,0.5481453796464185,0.26108286852975937
