metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.16724382675915617,0.16103133709309458
iou_jaccard,64,81,0.10011446408697285,0.10253204106037653
precision,64,81,0.25787115269875105,0.24572011206125238
recall,64,81,0.15095441354692704,0.16476133358525366
accuracy,64,81,0.6246262538580247,0.1370185240575754
balanced_accuracy,64,81,0.5054484648778225,0.04951881549522668
mcc,64,81,0.01109646226974851,0.11472244341823673
specificity,64,81,0.859942516208718,0.14812534559687454
f1_dice,48,121,0.1877671711934749,0.18150709587288744
iou_jaccard,48,121,0.11577318804116742,0.12316317353606304
precision,48,121,0.3013102110684735,0.2796893240676681
recall,48,121,0.18644264609922334,0.2071226079562672
accuracy,48,121,0.598769816217733,0.15088072017948542
balanced_accuracy,48,121,0.5089981678062538,0.07182411437317451
mcc,48,121,0.015922043915046428,0.1604467784124747
specificity,48,121,0.8315536895132843,0.176764366743939
