metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.541360217470064,0.2578351924389772
iou_jaccard,64,81,0.4121915906827277,0.23874291436504283
precision,64,81,0.7381788851318065,0.27919702788479017
recall,64,81,0.5380935369189164,0.31852647185449523
accuracy,64,81,0.7809244791666666,0.08769444930367558
balanced_accuracy,64,81,0.7116810043457898,0.12263590522774963
mcc,64,81,0.4677137524008189,0.20856589589206806
specificity,64,81,0.8852684717726632,0.15935670789722234
f1_dice,48,121,0.5262535566375125,0.2925070586639231
iou_jaccard,48,121,0.40881599845054456,0.26649666024486784
precision,48,121,0.7668001387461422,0.2753999799199381
recall,48,121,0.48748145085681804,0.33035939472172704
accuracy,48,121,0.794531090577492,0.09105531925880596
balanced_accuracy,48,121,0.6929020102780709,0.13310430377447624
mcc,48,121,0.4412988518711384,0.23418456784553432
specificity,48,121,0.8983225696993234,0.17626503300072577
