metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.030864185177435454,0.04539985583223211
iou_jaccard,64,81,0.016251140338006377,0.025391131523384278
precision,64,81,0.046109429952758366,0.07058022116109954
recall,64,81,0.02574975838824991,0.03943133404114241
accuracy,64,81,0.4612841194058642,0.1369725724832777
balanced_accuracy,64,81,0.35241334206280356,0.05763087310359017
mcc,64,81,-0.32364008187538973,0.11670701162734758
specificity,64,81,0.6790769257373572,0.1109888720909494
f1_dice,48,121,0.03132122526524497,0.04192327138124883
iou_jaccard,48,121,0.016397074990441043,0.02309356186635396
precision,48,121,0.06247634658508348,0.11136703461336565
recall,48,121,0.02585084555686127,0.03159610116322092
accuracy,48,121,0.4274464180950924,0.11970192165910776
balanced_accuracy,48,121,0.33735629157222946,0.04763516574770724
mcc,48,121,-0.3443141186522001,0.09664264369314945
specificity,48,121,0.6488617375875976,0.09418874955397835
