metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.1380244650690254,0.1767812639592549
iou_jaccard,64,81,0.08516680909463788,0.11844483192632065
precision,64,81,0.24090296927726862,0.2755018884446341
recall,64,81,0.1397442399390352,0.2242518807612304
accuracy,64,81,0.6282190393518519,0.1479580218078104
balanced_accuracy,64,81,0.510687650392478,0.07781683022848562
mcc,64,81,0.016161803832938897,0.15333666893609454
specificity,64,81,0.8816310608459209,0.17051391336325236
f1_dice,48,121,0.1321244234580807,0.18599877157198466
iou_jaccard,48,121,0.08314232528737767,0.12660358644628542
precision,48,121,0.19416741731383785,0.2620316191653736
recall,48,121,0.14332675808938253,0.22374534370903612
accuracy,48,121,0.6038669523518008,0.1671282469645193
balanced_accuracy,48,121,0.5043683033936747,0.07872788456438529
mcc,48,121,0.006982755885725192,0.1565933983213049
specificity,48,121,0.8654098486979669,0.20584010519087165
