metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.6350408793583834,0.1601848744551187
iou_jaccard,64,81,0.4827291846608828,0.15314224976534535
precision,64,81,0.6283979829319369,0.2019744414217688
recall,64,81,0.696161906627257,0.15432901075918873
accuracy,64,81,0.7564772617669753,0.1136475729538035
balanced_accuracy,64,81,0.7409417412421999,0.08838135200090894
mcc,64,81,0.4696502493929072,0.16057102114681773
specificity,64,81,0.7857215758571428,0.15968962447876042
f1_dice,48,121,0.6584334320341733,0.12309320659206241
iou_jaccard,48,121,0.5030778422068964,0.1359395228106152
precision,48,121,0.6632493139073824,0.16668381412635558
recall,48,121,0.689580044221606,0.1325602984708702
accuracy,48,121,0.7830104230435669,0.06528120668790544
balanced_accuracy,48,121,0.7507969218260485,0.06325334102633538
mcc,48,121,0.4866288632470399,0.1230353247542477
specificity,48,121,0.8120137994304908,0.12850327949219092
