metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.5109503616435779,0.18995104858924539
iou_jaccard,64,81,0.36430698984237203,0.1701916482476873
precision,64,81,0.40722886328552027,0.17014905931526608
recall,64,81,0.7865864651299285,0.2651110815653844
accuracy,64,81,0.5569058641975309,0.1587659558474503
balanced_accuracy,64,81,0.5906079802112569,0.0971831483415446
mcc,64,81,0.18369468887188317,0.1798017199558862
specificity,64,81,0.3946294952925855,0.29226096316689526
f1_dice,48,121,0.4973752710806569,0.2248135141678675
iou_jaccard,48,121,0.36061343471244467,0.20319586651619867
precision,48,121,0.41164367616594827,0.19992667528557834
recall,48,121,0.7322995953056707,0.31611843572837717
accuracy,48,121,0.5850554949750025,0.1490788274483893
balanced_accuracy,48,121,0.5683040625978084,0.0930903269433473
mcc,48,121,0.14264955613199046,0.17167997042275393
specificity,48,121,0.4043085298899462,0.32043942706305883
