metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.12620778121689977,0.24541761267560358
iou_jaccard,64,81,0.09275507875019606,0.1988597468797804
precision,64,81,0.21274322773125554,0.3555897283639498
recall,64,81,0.11164047516006445,0.23561073029539092
accuracy,64,81,0.6918915171682098,0.1322615217699409
balanced_accuracy,64,81,0.538006808969032,0.08757396601362687
mcc,64,81,0.09496363148710849,0.19051602103721196
specificity,64,81,0.9643731427779996,0.10987083562571559
f1_dice,48,121,0.12370969522306252,0.2597624279729205
iou_jaccard,48,121,0.09437780934476914,0.2087904525889361
precision,48,121,0.1771224184130753,0.3362471059808652
recall,48,121,0.11270970412351339,0.24876976808005932
accuracy,48,121,0.6784695120395878,0.1708779923500516
balanced_accuracy,48,121,0.5400279599871973,0.09230401911243548
mcc,48,121,0.09165417077948197,0.19801005348523204
specificity,48,121,0.9673462158508812,0.11705208733084618
