metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.6631220912961521,0.17301993217082576
iou_jaccard,64,81,0.5184684377514674,0.17810898943074166
precision,64,81,0.5721031339632774,0.20526972004207242
recall,64,81,0.8963719545171189,0.127338057233483
accuracy,64,81,0.7025402681327161,0.18534321772825985
balanced_accuracy,64,81,0.744065797973268,0.11099854635083024
mcc,64,81,0.48410902233056674,0.19986797754220068
specificity,64,81,0.5917596414294172,0.28430787160161997
f1_dice,48,121,0.679242777580597,0.14670090893015272
iou_jaccard,48,121,0.5324802021278264,0.16680375211655998
precision,48,121,0.6049920297065208,0.19308872382756492
recall,48,121,0.8646562085689574,0.16522159243355486
accuracy,48,121,0.737425948245077,0.1470062562156572
balanced_accuracy,48,121,0.7378496130731058,0.11237343848357656
mcc,48,121,0.4767778377504132,0.1998702500296578
specificity,48,121,0.6110430175772543,0.2950555397572671
