metric,tile_size,n_tiles,mean,sd
f1_dice,64,81,0.6282598566643334,0.1560780755298538
iou_jaccard,64,81,0.47460634715082084,0.149528309006128
precision,64,81,0.5308304284247619,0.18146542226068146
recall,64,81,0.850150057194625,0.10369793851009416
accuracy,64,81,0.6944534866898148,0.10682245417779515
balanced_accuracy,64,81,0.74087483828436,0.07259559922577054
mcc,64,81,0.4390955503299414,0.13798051061986416
specificity,64,81,0.6315996193740948,0.12658872538305577
f1_dice,48,121,0.6545076506512407,0.12968752318628096
iou_jaccard,48,121,0.49905994871302056,0.13316628553548018
precision,48,121,0.5645233192053978,0.1806568091471945
recall,48,121,0.8610494658971134,0.10642943276747428
accuracy,48,121,0.7204976692429345,0.06785180619360487
balanced_accuracy,48,121,0.7645464089086613,0.06560373901695853
mcc,48,121,0.4708098615318781,0.12854690603337424
specificity,48,121,0.6680433519202092,0.08094434343677986
