metric,method_A,method_B,n_common,wilcoxon_n_eff,wilcoxon_W,wilcoxon_p_raw,wilcoxon_mode,wilcoxon_p_holm,sign_n,sign_pos,sign_p_raw,sign_p_holm,HL_estimate(A-B),median_diff(A-B)
f1_dice,60%,FREEHAND,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.458718538016651e-13,81,81,8.271806125530277e-25,3.7223127564886245e-23,0.4678726873848825,0.4678726873848825
f1_dice,60%,ILASTIK,81,81,1046.0,0.0038415916724544746,approx(pratt),0.04225750839699922,81,47,0.18207674694084314,1.0,0.04372181272669795,0.04372181272669795
f1_dice,60%,OTSU,81,81,1.0,5.671876047777079e-15,approx(pratt),2.3254691795886025e-13,81,80,6.782881022934827e-23,2.780981219403279e-21,0.6628571428571428,0.6628571428571428
f1_dice,60%,OVAL,81,81,15.0,9.54898185386052e-15,approx(pratt),3.2466538303125765e-13,81,80,6.782881022934827e-23,2.7131524091739308e-21,0.526286769445585,0.526286769445585
f1_dice,60%,PLANKSTER,81,80,1393.0,0.20956575645204056,approx(pratt),0.6286972693561217,80,42,0.7375543089843226,0.7375543089843226,0.018269083365494265,0.018269083365494265
f1_dice,60%,PORED2,81,76,66.0,7.969259704530921e-14,approx(pratt),1.832929732042112e-12,76,72,3.589836803538052e-17,8.615608328491325e-16,0.09120477928974446,0.09120477928974446
f1_dice,60%,SAMJ,81,81,16.0,9.909352204393326e-15,approx(pratt),3.270086227449798e-13,81,77,1.4495364161868997e-18,4.058701965323319e-17,0.5997064374082617,0.5997064374082617
f1_dice,60%,SEMI,81,77,828.0,9.857529314372747e-05,approx(pratt),0.001478629397155912,77,23,0.0005387801699960486,0.008620482719936777,-0.01083871144169768,-0.01083871144169768
f1_dice,60%,UNET,81,80,1196.0,0.029087816972372848,approx(pratt),0.14543908486186424,80,46,0.21851803947870374,0.874072157914815,0.018879300769313878,0.018879300769313878
f1_dice,FREEHAND,ILASTIK,81,78,109.0,3.1295565440732375e-13,approx(pratt),6.885024396961123e-12,78,8,1.7449045276511964e-13,3.838789960832632e-12,-0.4180790960451977,-0.4180790960451977
f1_dice,FREEHAND,OTSU,81,65,348.0,4.064820875640619e-09,approx(pratt),6.910195488589053e-08,65,52,1.1688116132369708e-06,1.9869797425028505e-05,0.11224449524861942,0.11224449524861942
