metric,reference,method,n_common,wilcoxon_n_eff,wilcoxon_W,wilcoxon_p_raw,wilcoxon_mode,wilcoxon_p_holm,stars,sign_n,sign_pos,sign_p_raw,sign_p_holm,HL_estimate(ref - method),median_diff(ref - method)
f1_dice,SEMI,60%,77,77,828.0,9.857529314372747e-05,approx(pratt),0.001478629397155912,**,77,23,0.0005387801699960486,0.008620482719936777,-0.01083871144169768,-0.01083871144169768
f1_dice,SEMI,FREEHAND,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.349442158549244e-13,***,81,0,8.271806125530277e-25,3.556876633978019e-23,-0.4562797062275421,-0.4562797062275421
f1_dice,SEMI,ILASTIK,81,81,934.0,0.0006303397132979002,approx(pratt),0.008824755986170602,**,81,32,0.07478815428283364,0.5235170799798354,-0.08036111211472396,-0.08036111211472396
f1_dice,SEMI,OTSU,81,81,1.0,5.671876047777079e-15,approx(pratt),2.2687504191108317e-13,***,81,1,6.782881022934827e-23,2.509665978485886e-21,-0.6656862545405167,-0.6656862545405167
f1_dice,SEMI,OVAL,81,81,18.0,1.067070749882741e-14,approx(pratt),3.414626399624771e-13,***,81,1,6.782881022934827e-23,2.306179547797841e-21,-0.5446318387494858,-0.5446318387494858
f1_dice,SEMI,PLANKSTER,80,80,1109.0,0.009544309366667801,approx(pratt),0.07635447493334241,,80,30,0.03299261842647619,0.3299261842647619,-0.03066134597202952,-0.03066134597202952
f1_dice,SEMI,PORED2,77,77,27.0,1.7783229601905326e-14,approx(pratt),4.979304288533491e-13,***,77,2,3.975760896174872e-20,1.2324858778142104e-18,-0.12115604682690029,-0.12115604682690029
f1_dice,SEMI,SAMJ,81,81,13.0,8.866500267367073e-15,approx(pratt),3.1032750935784754e-13,***,81,3,7.332294385792548e-20,2.1996883157377644e-18,-0.6390547058219889,-0.6390547058219889
f1_dice,SEMI,UNET,80,80,992.0,0.00167347945786458,approx(pratt),0.020081753494374962,*,80,51,0.01831609751691632,0.23810926771991214,0.04094380145286436,0.04094380145286436
iou_jaccard,SEMI,60%,77,77,856.0,0.00016840550121214533,approx(pratt),0.0025260825181821797,**,77,23,0.0005387801699960486,0.008620482719936777,-0.01081593927893737,-0.01081593927893737
iou_jaccard,SEMI,FREEHAND,81,81,0.0,5.4638189733703355e-15,approx(pratt),2.349442158549244e-13,***,81,0,8.271806125530277e-25,3.556876633978019e-23,-0.390625,-0.390625
iou_jaccard,SEMI,ILASTIK,81,81,953.0,0.000872337456107607,approx(pratt),0.012212724385506498,*,81,32,0.07478815428283364,0.5235170799798354,-0.0738319827324232,-0.0738319827324232
iou_jaccard,SEMI,OTSU,81,81,2.0,5.887727172875296e-15,approx(pratt),2.413968140878871e-13,***,81,1,6.782881022934827e-23,2.509665978485886e-21,-0.5205529954367396,-0.5205529954367396
iou_jaccard,SEMI,OVAL,81,81,14.0,9.201516100676866e-15,approx(pratt),3.036500313223366e-13,***,81,1,6.782881022934827e-23,2.306179547797841e-21,-0.424309204390322,-0.424309204390322
iou_jaccard,SEMI,PLANKSTER,80,80,1053.0,0.0042958245429408955,approx(pratt),0.04725406997234985,*,80,30,0.03299261842647619,0.3299261842647619,-0.03591853931412503,-0.03591853931412503
iou_jaccard,SEMI,PORED2,77,77,25.0,1.652429329578942e-14,approx(pratt),4.792045055778931e-13,***,77,2,3.975760896174872e-20,1.2324858778142104e-18,-0.14292523751020536,-0.14292523751020536
iou_jaccard,SEMI,SAMJ,81,81,14.0,9.201516100676866e-15,approx(pratt),2.944485152216597e-13,***,81,3,7.332294385792548e-20,2.1996883157377644e-18,-0.47214244686961515,-0.47214244686961515
iou_jaccard,SEMI,UNET,80,80,962.0,0.001023321542859283,approx(pratt),0.013303180057170677,*,80,51,0.01831609751691632,0.23810926771991214,0.04534500999177149,0.04534500999177149
mcc,SEMI,60%,77,77,822.0,8.76988696532294e-05,approx(pratt),0.0012277841751452115,**,77,21,8.215921903007378e-05,0.001150229066421033,-0.02701415400324393,-0.02701415400324393
mcc,SEMI,FREEHAND,77,77,6.0,8.190263470941565e-15,approx(pratt),2.9484948495389633e-13,***,77,1,1.0323214044661785e-21,3.613124915631625e-20,-0.5012331852076904,-0.5012331852076904
mcc,SEMI,ILASTIK,81,81,1580.0,0.7064244437699296,approx(pratt),1.0,,81,39,0.8243132151052083,1.0,-0.021717791711364953,-0.021717791711364953
mcc,SEMI,OTSU,80,80,3.0,6.225682172924233e-15,approx(pratt),2.6147865126281777e-13,***,80,1,1.3400325923359048e-22,4.958120591642848e-21,-0.889261255270777,-0.889261255270777
mcc,SEMI,OVAL,79,79,64.0,6.028641689658212e-14,approx(pratt),1.6277332562077173e-12,***,79,3,2.72109334305444e-19,7.346952026246988e-18,-0.5142483375042628,-0.5142483375042628
mcc,SEMI,PLANKSTER,80,80,1390.0,0.20448198653214122,approx(pratt),1.0,,80,33,0.1456354544029827,1.0,-0.030350884782631704,-0.030350884782631704
mcc,SEMI,PORED2,77,77,19.0,1.3250496213949471e-14,approx(pratt),3.9751488641848415e-13,***,77,2,3.975760896174872e-20,1.1132130509289642e-18,-0.30124791633400627,-0.30124791633400627
mcc,SEMI,SAMJ,78,78,66.0,6.826449798080312e-14,approx(pratt),1.6383479515392747e-12,***,78,6,1.8493658649069896e-15,3.51379514332328e-14,-0.39532147646591587,-0.39532147646591587
mcc,SEMI,UNET,80,80,1106.0,0.009159554874944525,approx(pratt),0.08243599387450072,,80,50,0.03299261842647619,0.2969335658382857,0.051903239335848395,0.051903239335848395
precision,ILASTIK,60%,81,81,308.0,1.945328086124608e-10,approx(pratt),3.5015905550242945e-09,***,81,6,2.91096598559025e-16,9.89728435100685e-15,-0.24090524259198964,-0.24090524259198964
precision,ILASTIK,FREEHAND,78,78,35.0,2.2204730548101617e-14,approx(pratt),7.993702997316582e-13,***,78,2,2.039496518310745e-20,7.954036421411906e-19,-0.48174619498148913,-0.48174619498148913
precision,ILASTIK,OTSU,78,78,11.0,9.178978845398813e-15,approx(pratt),3.6715915381595253e-13,***,78,76,2.039496518310745e-20,7.750086769580831e-19,0.758849191009995,0.758849191009995
precision,ILASTIK,OVAL,79,79,110.0,3.0771917234993127e-13,approx(pratt),9.231575170497938e-12,***,79,72,1.059068672061396e-14,2.859485414565769e-13,0.5601741884402217,0.5601741884402217
precision,ILASTIK,PLANKSTER,81,81,361.0,9.59189451611866e-10,approx(pratt),1.3428652322566123e-08,***,81,73,2.977302970952647e-14,7.443257427381617e-13,0.11454053989687896,0.11454053989687896
precision,ILASTIK,PORED2,81,81,119.0,4.002956255020111e-13,approx(pratt),1.1608573139558323e-11,***,81,76,2.2643223890053103e-17,7.925128361518586e-16,0.34750320842400617,0.34750320842400617
precision,ILASTIK,SAMJ,75,75,86.0,1.7899987280682287e-13,approx(pratt),5.727995929818332e-12,***,75,69,1.1641661378765454e-14,3.026831958479018e-13,0.6243628950050968,0.6243628950050968
precision,ILASTIK,SEMI,81,81,324.0,3.1692746633070695e-10,approx(pratt),5.387766927622018e-09,***,81,75,2.91096598559025e-16,9.3150911538888e-15,0.20473377635573065,0.20473377635573065
precision,ILASTIK,UNET,81,81,288.0,1.0486801504398054e-10,approx(pratt),1.9924922858356304e-09,***,81,74,3.167382755726581e-15,9.185409991607084e-14,0.19564880920693317,0.19564880920693317
recall,60%,FREEHAND,81,81,0.0,5.253944685618369e-15,approx(pratt),2.311735661672082e-13,***,81,81,8.271806125530277e-25,3.7223127564886245e-23,0.8378033205619412,0.8378033205619412
recall,60%,ILASTIK,76,76,0.0,7.160135719358663e-15,approx(pratt),2.0764393586140121e-13,***,76,76,2.6469779601696886e-23,8.999725064576941e-22,0.4026610644257703,0.4026610644257703
recall,60%,OTSU,81,81,0.0,5.33100105760119e-15,approx(pratt),2.2923304547685117e-13,***,81,81,8.271806125530277e-25,3.639594695233322e-23,0.9530540131246845,0.9530540131246845
recall,60%,OVAL,80,80,2.0,5.852267443000278e-15,approx(pratt),1.9897709306200945e-13,***,80,79,1.3400325923359048e-22,4.0200977770077145e-21,0.9207988980716253,0.9207988980716253
recall,60%,PLANKSTER,78,78,0.0,6.097015081612781e-15,approx(pratt),2.0120149769322177e-13,***,78,78,6.617444900424222e-24,2.3161057151484775e-22,0.2319618366129994,0.2319618366129994
recall,60%,PORED2,67,67,264.0,2.2467457505515557e-10,approx(pratt),3.3701186258273336e-09,***,67,55,1.0273195443541004e-07,1.4382473620957405e-06,0.0826446280991735,0.0826446280991735
recall,60%,SAMJ,81,81,0.0,5.361380316302872e-15,approx(pratt),2.144552126521149e-13,***,81,81,8.271806125530277e-25,3.556876633978019e-23,0.9354838709677419,0.9354838709677419
recall,60%,SEMI,66,66,20.0,8.344047899967679e-14,approx(pratt),1.6688095799935357e-12,***,66,65,1.81603863891322e-18,3.63207727782644e-17,0.031604054859868835,0.031604054859868835
recall,60%,UNET,75,75,466.0,2.4943657022631716e-08,approx(pratt),2.743802272489489e-07,***,75,60,1.5877990745379462e-07,2.06413879689933e-06,0.0915977961432507,0.0915977961432507
specificity,SAMJ,60%,81,81,0.0,5.459123201557926e-15,approx(pratt),2.4020142086854873e-13,***,81,0,8.271806125530277e-25,3.639594695233322e-23,-0.38501799149492966,-0.38501799149492966
specificity,SAMJ,FREEHAND,62,62,369.0,1.4275948139302633e-08,approx(pratt),2.141392220895395e-07,***,62,9,1.0507232717140574e-08,1.8913018890853034e-07,-0.07342342342342345,-0.07342342342342345
specificity,SAMJ,ILASTIK,69,69,580.0,9.099630238673263e-07,approx(pratt),1.182951931027524e-05,***,69,14,6.921916920059638e-07,1.0382875380089457e-05,-0.01637426900584793,-0.01637426900584793
