method,f1_dice,iou_jaccard,mcc,precision,recall,specificity,balanced_accuracy,accuracy,TP,FP,TN,FN,gt_pore_fraction,pred_pore_fraction,pore_fraction_bias,gt_pore_area_um2,pred_pore_area_um2,pore_area_bias_um2
60%,0.5580025106484875,0.3869649668387629,0.33413847166042865,0.4125447951760692,0.8618950483064715,0.49763737624897925,0.6797662122777254,0.6034309895833333,76900,109504,108474,12322,0.2904361979166667,0.6067838541666667,0.31634765625,7.798270001302085,16.292267841145836,8.49399783984375
FREEHAND,0.47808082452625844,0.31413023255813954,0.3565509960059019,0.648817415028724,0.3784828853870122,0.9161475011239666,0.6473151932554894,0.759990234375,33769,18278,199700,55453,0.2904361979166667,0.169423828125,-0.12101236979166669,7.798270001302085,4.549063669921876,-3.2492063313802095
ILASTIK,0.5150518490330122,0.3468483722462727,0.3862294179620017,0.6541183374758354,0.4247495012440878,0.9080687041811559,0.6664091027126219,0.7676953125,37897,20039,197939,51325,0.2904361979166667,0.18859375,-0.10184244791666669,7.798270001302085,5.0637799062500015,-2.7344900950520836
OTSU,0.4797830018083183,0.31560165580244565,0.2904143250210442,0.5190276220037038,0.44605590549416063,0.8308086137133105,0.6384322596037355,0.7190625,39798,36880,181098,49424,0.2904361979166667,0.24960286458333333,-0.04083333333333336,7.798270001302085,6.701886834635419,-1.0963831666666666
OVAL,0.4956026528258362,0.3294360055584839,0.39006252295644644,0.6944725039395531,0.3852749321916119,0.9306214388608025,0.6579481855262073,0.7722330729166667,34375,15123,202855,54847,0.2904361979166667,0.16112630208333334,-0.12930989583333335,7.798270001302085,4.326273436197917,-3.4719965651041678
PLANKSTER,0.4434602810919556,0.28490135889565044,0.30302659223427747,0.5885341343123076,0.3557642733854879,0.898191560616209,0.6269779170008485,0.7406510416666666,31742,22192,195786,57480,0.2904361979166667,0.17556640625,-0.11486979166666669,7.798270001302085,4.713993121093751,-3.084276880208334
PORED2,0.4729068536687655,0.3096778050539358,0.14061981874019835,0.31719423937295965,0.9289188765102777,0.18151831836240354,0.5552185974363406,0.3985904947916667,82880,178411,39567,6342,0.2904361979166667,0.850556640625,0.5601204427083333,7.798270001302085,22.83761591210938,15.039345910807295
SAMJ,0.2533487915812004,0.14504830177889427,0.20610545998405427,0.6200453989872534,0.1591984039810809,0.9600693647982824,0.5596338843896816,0.7274674479166666,14204,8704,209274,75018,0.2904361979166667,0.0745703125,-0.21586588541666668,7.798270001302085,2.0022278046875006,-5.796042196614584
SEMI,0.013544319281194747,0.006818334490248326,0.060577953444190945,0.8638297872340426,0.00682567079868194,0.999559588582334,0.5031926296905079,0.7112337239583333,609,96,217882,88613,0.2904361979166667,0.002294921875,-0.28814127604166667,7.798270001302085,0.06161911132812501,-7.73665088997396
UNET,0.5382806156258458,0.3682516777023619,0.31160931780556816,0.4611478922791531,0.6463988702337988,0.6908357724173999,0.6686173213255994,0.6779296875,57673,67391,150587,31549,0.2904361979166667,0.407109375,0.1166731770833333,7.798270001302085,10.930968140625003,3.132698139322918
